"Alexandrite_Description", "可開採的變色礦石。"
"Village!MotherGothel!VLG_Moth_040_Meteorite_Description", "這顆掉落在夢幻星谷的隕石像個小太陽！"
"Village!MotherGothel!VLG_Moth_040_Meteorite_DisplayName", "太陽隕石"
"Village!Remy!VLG_Remy_010_IngredientsList_DisplayName", "小米的食材清單"
"Village!Remy!VLG_Remy_020_BookLocation01_DisplayName", "米奇給小米的特別食譜做的筆記I"
"Village!Remy!VLG_Remy_020_BookLocation02_DisplayName", "米奇給小米的特別食譜做的筆記II"
"Village!Remy!VLG_Remy_020_BookLocation03_DisplayName", "米奇給小米的特別食譜做的筆記III"
"Village!Remy!VLG_Remy_020_PeanutBox_DisplayName", "花生袋"
"Village!Remy!VLG_Remy_040_CrypticNote_DisplayName", "絕妙鄉村美食食譜"
"Village!Remy!VLG_Remy_040_PurifiedNightShardPowder_DisplayName", "純凈夜之碎片粉末"
"Village!Remy!VLG_Remy_040_SlushIce_DisplayName", "冰沙"
"Village!Scrooge!VLG_Scro_030_ScroogeNote_DisplayName", "史高治的筆記"
"Village!Scrooge!VLG_Scro_040_Catfish_DisplayName", "鯰魚"
"Village!Scrooge!VLG_Scro_050_TreasureMapFragment_DisplayName", "地圖碎片"
"Village!Scrooge!VLG_Scro_060_Key_DisplayName", "寶藏鑰匙"
"Village!Scrooge!VLG_Scro_060_TreasureMap_DisplayName", "藏寶圖"
"Village!Scrooge!VLG_Scro_080_KeyPiece_DisplayName", "破鑰匙殘件"
"Village!Scrooge!VLG_Scro_080_TreasureChest_DisplayName", "寶箱"
"Village!Ursula!VLG_Ursu_010_Paper_DisplayName", "紙"
"Village!Ursula!VLG_Ursu_030_PurplePigment_DisplayName", "紫色顏料"
"Village!Ursula!VLG_Ursu_030_ScrollAndInk_DisplayName", "魔法捲軸和墨水盒"
"Village!Ursula!VLG_Ursu_040_CorruptionFlower_DisplayName", "腐敗的花"
"Village!Ursula!VLG_Ursu_050_EnchantmentPotion_DisplayName", "魔法藥水"
"Village!Ursula!VLG_Ursu_050_Seashell_DisplayName", "烏蘇拉儀式用貝殼"
"Village!Ursula!VLG_Ursu_060_ActiveCrystalWithOffset_DisplayName", "黑暗水晶"
"Village!Ursula!VLG_Ursu_060_ActiveOrb_DisplayName", "啟用的魔力水晶"
"Village!Ursula!VLG_Ursu_060_InactiveOrb_DisplayName", "黑暗水晶"
"Village!Ursula!VLG_Ursu_060_PowerItem_DisplayName", "力量水晶"
"Village!Ursula!VLG_Ursu_060_PrinceEric_DisplayName", "悲催的亞力克"
"Village!VLG_Anna_010_Letter_Description", "安娜寫給艾莎的信，她在信中講述了夢幻星谷的美妙之處。"
"Village!VLG_Anna_010_Tome_Description", "這本樹上記錄了星谷裡生長的各種魔法植物，以及移除它們的辦法。"
"Village!VLG_Anna_020_ClimbingGear_Description", "這件登山裝備暴露在空氣中太久了，已經破敗了。"
"Village!VLG_Anna_020_GearRepaired_Description", "你修好了克里斯托夫的登山裝備，現在它又完好如初了！"
"Village!VLG_Anna_030_EnchantedRing_Description", "你對安娜的訂婚戒指施了一道魔法，希望它能幫助克里斯托夫恢復記憶。"
"Village!VLG_Anna_030_WeddingRing_Description", "這枚訂婚戒指代表著克里斯托夫和安娜之間遺失的愛。"
"Village!VLG_Anna_040_BirthdayBook_Description", "這本書上記錄著阿倫戴爾皇室的肖像畫。"
"Village!VLG_Arie_010_ShippingRecord_Description", "克里斯托夫儲存的清單，記錄了亞力克王子的海洋探險。"
"Village!VLG_Arie_010_StatueFace_Description", "破損雕像的碎片顯示的是亞力克王子英俊的面容。"
"Village!VLG_Arie_020_DonaldPiece_Description", "被唐老鴨埋起來的亞力克王子的雕像碎片。"
"Village!VLG_Arie_020_ScroogePiece_Description", "史高治收藏的亞力克王子的雕像碎片。"
"Village!VLG_Arie_020_StatueFace_Description", "亞力克王子的破損雕像的碎片。"
"Village!VLG_Arie_020_StatuePiece_Description", "克里斯托夫把這片亞力克王子的雕像碎片當成了紙鎮。嘖嘖……"
"Village!VLG_Arie_020_SuperGlue_Description", "這種超強膠水肯定能夠修復亞力克王子的雕像。"
"Village!VLG_Arie_030_KitchenWhip_Description", "廚房裡使用的攪拌器，不是用來撓腳的。"
"Village!VLG_Arie_030_SpinningTop_Description", "給愛麗兒的旋轉陀螺。"
"Village!VLG_Arie_030_Timble_Description", "給愛麗兒收藏的古老唱片機。"
"Village!VLG_Arie_040_ChargedTablet_Description", "被施法注入了快樂、激情、興奮和憤怒。"
"Village!VLG_Arie_040_ChargedTabletStep1_Description", "刻著符文的石板，被施法注入了快樂。"
"Village!VLG_Arie_040_ChargedTabletStep2_Description", "被施法注入了快樂和激情。"
"Village!VLG_Arie_040_ChargedTabletStep3_Description", "被施法注入了快樂、激情和興奮。"
"Village!VLG_Arie_040_PowerKristall_Description", "你在神秘洞穴深處的一扇門後發現了這個。"
"Village!VLG_Arie_040_UnchargedTablet_Description", "愛麗兒在神秘洞穴深處一扇奇怪的門附近找到了這塊刻著符文的石板。"
"Village!VLG_Arie_LightBulb_Description", "給愛麗兒的故事書，講述了冰雪女王和她的妹妹，還有一個會說話的雪人的故事……"
"Village!VLG_Elsa_030_PuzzleShard01_Description", "這個奇怪的東西似乎屬於某種龐然大物。"
"Village!VLG_Eric_010_Flute_Description", "這根笛子對亞力克王子非常重要。這可能是把他變回人類的關鍵物品。"
"Village!VLG_Eric_020_Enchantment_Description", "進行變形魔法所需的物品。"
"Village!VLG_Eric_020_NautilusPendant_Description", "可以讓愛麗兒在海洋和陸地之間來去自由的魔法吊墜。"
"Village!VLG_Eric_030_CurrentsMap_Description", "這些地圖上記錄著夢幻星谷周圍的島嶼和洋流。"
"Village!VLG_Eric_030_DemagnetizeCompass_Description", "這個羅盤出了點問題，無法再指示方向了。"
"Village!VLG_Eric_030_Magnet_Description", "這塊磁鐵需要放在羅盤上，可以在夢幻星谷的海洋中指引方向。"
"Village!VLG_Eric_030_MagnetizeCompass_Description", "這個羅盤可以為亞力克在夢幻星谷的海洋中指引方向。"
"Village!VLG_Eric_030_TradeMaps_Description", "這份地圖比較新，描繪了夢幻星谷周圍的島嶼和洋流。"
"Village!VLG_Eric_040_AtlantisCompass_Description", "這個羅盤不僅可以在夢幻星谷的海洋中為大家安全導航，還能指示神秘廢墟的位置。"
"Village!VLG_Eric_040_Compass_Description", "重新放置夢幻星光磁鐵之後，這個羅盤煥然一新。"
"Village!VLG_Eric_040_CrystallExtract_Description", "魔法物品，可以用於亞力克的羅盤。"
"Village!VLG_Eric_040_MysticalCrystall_Description", "亞力克在夢幻星谷的大海上旅行時發現了這件上古神器。"
"Village!VLG_Kris_010_FireAshes_Description", "來自克里斯托夫營地的燒過的原木。"
"Village!VLG_Kris_020_AnnasTears_Description", "一綹安娜的頭髮，用來封住記憶咒語。"
"Village!VLG_Kris_020_ColdWater_Description", "從信仰林地打來的一瓶酷爽涼水。"
"Village!VLG_Kris_020_IcePowder_Description", "冷得可以把任何水變成冰。"
"Village!VLG_Kris_040_BrokenSleigh_Description", "你別指望這個雪橇能帶你在雪地裡走多遠。"
"Village!VLG_Kris_040_SleighPlans_Description", "這本書可以教會你如何修復因為開進冰裡而受損的雪橇。它的扉頁上寫著：「最好不要開進冰裡！」"
"Village!VLG_Kristoff_010_CarrotSoap_Description", "帶有濃烈胡蘿蔔味兒的香皂。"
"Village!VLG_Kristoff_030_StallBlueprint_Description", "高飛把貨攤的這些地方留給了你，用來修建克里斯托夫的新貨攤。"
"Village!VLG_Maui_010_Eel_Description", "生活在海洋中的細長魚類。"
"Village!VLG_Maui_010_Worm_Description", "蠕動的蟲子。黏糊糊，但挺招人喜歡的。"
"Village!VLG_Maui_020_Sandstone_Description", "一件破家具。 它是由砂巖製成的。"
"Village!VLG_Maui_020_TikiTorch_Description", "熊熊燃燒的火炬。"
"Village!VLG_Maui_020_WhaleTeeth_Description", "這塊石頭形狀奇特，一定有用。"
"Village!VLG_Maui_030_Ink_Description", "閃爍著灰黑色光芒的墨水。"
"Village!VLG_Maui_030_Kite_Description", "咱們去放風箏吧！"
"Village!VLG_Maui_030_Limestone_Description", "一塊沉重的石板。毛伊覺得裡面可能藏著東西……"
"Village!VLG_Maui_040_ActiveHeart_Description", "修復後的夢幻星谷之心。"
"Village!VLG_Maui_040_AlbinoTunaScale_Description", "來自一隻白化鮪魚身上的魚鱗。"
"Village!VLG_Maui_040_CrystalVial_Description", "用水晶做成的小瓶子。"
"Village!VLG_Maui_040_DarkMountainWater_Description", "來自遺忘之地的水，它散發著黑暗。"
"Village!VLG_Maui_040_HeartDreamlightValley_Description", "夢幻星谷之心。"
"Village!VLG_Maui_040_HeartFragment1_Description", "在海底發現的一塊耀眼碎片。"
"Village!VLG_Maui_040_HeartFragment2_Description", "碎掉的夢幻星谷之心的一半。"
"Village!VLG_Maui_040_TundraWater_Description", "源於霜寒高地的水，散發著光芒。"
"Village!VLG_Merl_030_MerlinSample_Description", "這份樣本對梅林的實驗至關重要。"
"Village!VLG_Merl_070_Enchantment_Description", "這種藥膏應該能幫皇家灑水壺搞定那些最大的蘑菇。"
"Village!VLG_Merl_070_FallingWater_Description", "取自瀑布的涼水。"
"Village!VLG_Merl_070_FrozenHeart_Description", "這顆心是用最冷的冰做的。"
"Village!VLG_Merl_070_MerlinBook02_Description", "材料：冰心，如夜晚般黑暗的粉末，流水，蘑菇。"
"Village!VLG_Merl_070_NighShardPowder_Description", "用夜之碎片的碾成的粉末。"
"Village!VLG_Merl_070_NightShard_Description", "好像是某種黑魔法水晶。當心！"
"Village!VLG_Mick_030_MemoryOfMinnie_Description", "米妮喜歡戴蝴蝶結！"
"Village!VLG_Mick_040_EmitterDevice_Description", "放大夢幻星光的力量，把米妮帶回家！"
"Village!VLG_Mick_050_CastleStorageKey_Description", "用來打開城堡秘密倉庫的鑰匙。"
"Village!VLG_Minn_010_FlowerPot_Description", "帶有蝴蝶結裝飾的可愛花盆。"
"Village!VLG_Minn_010_FlowerPotWithFlowers_Description", "裝在帶蝴蝶結花盆裡的可愛花束。"
"Village!VLG_Minn_020_BackpackGift_Description", "給特別的人準備的精美禮物。"
"Village!VLG_Minn_020_DreamlightMagnifier_Description", "用來穩定夢幻星光魔法的裝置。"
"Village!VLG_Minn_040_DamagedClubBanner_Description", "經歷了風吹日曬的舊旗幟的碎片。"
"Village!VLG_Minn_040_EmptyVial_Description", "這個空瓶子在等著你來裝東西。"
"Village!VLG_Minn_040_RedDye_Description", "可以用來染布的美麗紅染料。"
"Village!VLG_Moan_010_StarPiece01_Description", "幫助莫阿娜後獲得的奇怪碎片。"
"Village!VLG_Moan_020_Flower_Description", "莫阿娜選來裝飾鏡子的花。"
"Village!VLG_Moan_020_Mirror_Description", "毛伊的特製船槳，用來表彰他傑出的嚮導能力。"
"Village!VLG_Moan_020_StarPiece02_Description", "幫助村民後獲得的紀念品。"
"Village!VLG_Moan_030_StarPiece03_Description", "幫助村民後獲得的紀念品。"
"Village!VLG_Moan_040_StarPiece04_Description", "幫助村民後獲得的紀念品。"
"Village!VLG_Moan_050_Basket_Description", "一個簡單的編織籃。"
"Village!VLG_Moan_050_StarPiece05_Description", "幫助村民後獲得的紀念品。"
"Village!VLG_Moan_060_ConchSeashell_Description", "把它放在耳朵邊，你可能會聽到一些聲音。"
"Village!VLG_Moth_010_Component01_Description", "一盒亂糟糟的電線和電子元件。"
"Village!VLG_Remy_010_IngredientsList_Description", "上面有小米的潦草字跡，清單上寫著：10根奧勒岡，15根胡蘿蔔，15顆樹莓，25穗小麥。"
"Village!VLG_Remy_020_BookLocation02_Description", "你要從食品室獲得兩種食材：-第一種取自大米、杏仁或奶牛-第二種你可以煮、醃製或油炸"
"Village!VLG_Remy_020_BookLocation03_Description", "回到食品室。你需要找到一種黃色的軟攪拌奶油。"
"Village!VLG_Remy_020_PeanutBox_Description", "一袋花生。"
"Village!VLG_Remy_020_WafflesHint_Description", "你可以在草地上找到如太陽般金黃的穀物。"
"Village!VLG_Remy_040_CrypticNote_Description", "- 找人幫忙把純凈夜之碎片磨成細細的粉末。<br>-將雪和純凈夜之碎片變成冰凍佳餚。"
"Village!VLG_Remy_040_DreamShardPowder_Description", "一種帶有光環的奇特塵埃。"
"Village!VLG_Remy_040_ElsaIceCream_Description", "以前可能是冰或雪，但現在呢？嗯……"
"Village!VLG_Scro_020_ScroogeNote_Description", "-問問高飛他最喜歡的日子<br>-去草地上透透氣，順便數下有多少個池塘<br>- 一個巫師研究星星需要多少臺望遠鏡？"
"Village!VLG_Scro_050_Catfish_Description", "有著貓一樣「鬍鬚」的大魚。"
"Village!VLG_Scro_060_TreasureMap_Description", "可以找到寶藏的地圖。"
"Village!VLG_Scro_060_TreasureMapFragment_Description", "一小塊羊皮紙。也許是某張地圖的碎片？"
"Village!VLG_Scro_080_KeyPiece_Description", "一把壞掉的鑰匙的殘件。"
"Village!VLG_Scro_080_KeyPiece02_Description", "一把修復過的鑰匙，可以用它開啟寶藏！"
"Village!VLG_Scro_080_TreasureChest_Description", "裡面會有什麼奇妙的寶藏呢？"
"Village!VLG_Ursu_010_Paper_Description", "是各地作家的首選素材。"
"Village!VLG_Ursu_030_PurplePigment_Description", "用花瓣製成的彩色粉末。"
"Village!VLG_Ursu_030_ScrollAndInk_Description", "充滿了夢幻星光魔力的書寫材料。"
"Village!VLG_Ursu_040_CorruptionFlower_Description", "曾經美麗的花朵，如今已經腐敗。"
"Village!VLG_Ursu_050_Seashell_Description", "據說是在海邊找到的貝殼。"
"Village!VLG_Ursu_060_ActiveCrystalWithOffset_Description", "充滿魔力的神秘水晶。"
"Village!VLG_Ursu_060_ActiveOrb_Description", "充滿魔力的神秘水晶。"
"Village!VLG_Ursu_060_EnchantmentPotion_Description", "性質不明的黑色藥水。"
"Village!VLG_Ursu_060_InactiveOrb_Description", "已經黯淡無光的神秘水晶。"
"Village!VLG_Ursu_060_PowerItem_Description", "邪惡的烏蘇拉所用的強大水晶。"
"Village!VLG_Ursu_060_PrinceEric_Description", "烏蘇拉把亞力克王子變成了她花園中的一個悲催靈魂。"
"Village!VLG_Wall_040_BrokenRecoveryUnit_Description", "這臺機器壞掉了，上面寫著F02937 M3 N07。"
"Village!VLG_Wall_040_ElectricalComponent_Description", "看上去像是……什麼機器上的東西？"
"Village!VLG_Wall_060_BowlingPin_Description", "一個保齡球瓶，也許是某人的珍愛之物。"
"Village!VLG_Wall_060_Clock_Description", "一個小鐘，也許是某人的珍愛之物。"
"Village!VLG_Wall_060_Cutlery_Description", "一套餐具，刀叉匙應有盡有。"
"Village!VLG_Wall_060_LightBulb_Description", "也許有人會拿它來照明？"
"Village!VLG_Wall_060_Necklace_Description", "一條粘著沙子的舊珍珠項鍊。"
"Village!VLG_Wall_060_Plates_Description", "你知道，瓦力一定會喜歡這些盤子……"
"Village!VLG_Wall_060_Thimble_Description", "有點生鏽了，但可能對某人很有用。"
"Village!VLG_Wall_060_ToyTrain_Description", "老舊但仍然色彩斑斕，能讓你想起童年時光。"
"Village!VLG_Wall_070_InkVials_Description", "裝著黑色墨水的小瓶。"
"Village!VLG_Wall_070_Invitations_Description", "加入瓦力的天文俱樂部的邀請函。"
"Village!VLG_Wall_070_Paper_Description", "一張白紙。"
"Village!VLG_Wall_070_Telescope_Description", "觀星用的望遠鏡。"
"Village!WallE!VLG_Wall_040_BrokenRecoveryUnit_DisplayName", "損壞的F02937 M3 N07"
"Village!WallE!VLG_Wall_040_ElectricalComponent_DisplayName", "電子元件"
"Village!WallE!VLG_Wall_040_RecoveryUnit_DisplayName", "F02937 M3 N07"
"Village!WallE!VLG_Wall_060_BowlingPin_DisplayName", "保齡球瓶"
"Village!WallE!VLG_Wall_060_Clock_DisplayName", "鐘"
"Village!WallE!VLG_Wall_060_Cutlery_DisplayName", "餐具"
"Village!WallE!VLG_Wall_060_LightBulb_DisplayName", "燈泡"
"Village!WallE!VLG_Wall_060_Necklace_DisplayName", "項鍊"
"Village!WallE!VLG_Wall_060_Plates_DisplayName", "盤子"
"Village!WallE!VLG_Wall_060_Thimble_DisplayName", "頂針"
"Village!WallE!VLG_Wall_060_ToyTrain_DisplayName", "玩具火車"
"Village!WallE!VLG_Wall_070_InkVials_DisplayName", "墨水瓶"
"Village!WallE!VLG_Wall_070_Invitations_DisplayName", "天文俱樂部邀請函"
"Village!WallE!VLG_Wall_070_Paper_DisplayName", "紙"
"Village!WallE!VLG_Wall_070_Telescope_DisplayName", "望遠鏡"
"VLG_Wall_040_RecoveryUnit_Description", "這臺機器已經修好了。F02937 M3 N07是一種記憶恢復裝置。"
"Waffles_Description", "搭配奶油和楓糖漿非常完美。"
"Waffles_DisplayName", "鬆餅"
"Walleye_Description", "在淡水中生活的棕色大魚。"
"Walleye_DisplayName", "碧古魚"
"WallEyeEnPapillote_DisplayName", "紙包碧古魚"
"WeddingCake_Description", "多層蛋糕，用來慶賀一段美好的姻緣。"
"WeddingCake_DisplayName", "婚禮蛋糕"
"WhiteSturgeon_Description", "這種巨大的魚可以活到100歲！"
"WhiteSturgeon_DisplayName", "白鱘"
"WildCrop!Basil_Seed_Description", "播下種子就會長出羅勒。"
"WildCrop!Basil_Seed_DisplayName", "羅勒種子"
"WildCrop!Garlic_Seed_Description", "播下種子就會長出大蒜。"
"WildCrop!Garlic_Seed_DisplayName", "大蒜種子"
"WildCrop!Ginger_Seed_Description", "播下種子就會長出薑。"
"WildCrop!Ginger_Seed_DisplayName", "薑種子"
"WildCrop!Mint_Seed_Description", "播下種子就會長出薄荷。"
"WildCrop!Mint_Seed_DisplayName", "薄荷種子"
"WildCrop!MushroomSeed_Description", "播下種子就會長出蘑菇。"
"WildCrop!MushroomSeed_DisplayName", "蘑菇種子"
"WildCrop!Oregano_Seed_Description", "播下種子就會長出奧勒岡。"
"WildCrop!Oregano_Seed_DisplayName", "奧勒岡種子"
"WildCrop!Vanilla_Seed_Description", "播下種子就會長出香草。"
"WildCrop!Vanilla_Seed_DisplayName", "香草種子"
"WonderlandCookies_Description", "有嚼勁的甜餅乾，配有皇家裝飾。"
"WonderlandCookies_DisplayName", "仙境餅乾"
"ZucciniPuffs_Description", "櫛瓜夾心的小塊酥皮點心"
"ZucciniPuffs_DisplayName", "櫛瓜捲"
